question_length,answer_length
29,71
18,85
1,93
49,63
1,1
17,37
11,86
6,50
44,34
91,1
6,21
2,1
52,1
13,65
7,14
1,1
4,22
10,76
9,44
8,75
32,23
14,47
1,7
15,13
7,8
1,7
16,14
13,1
42,51
13,13
10,81
20,96
1,7
6,42
18,21
16,91
7,90
6,61
1,1
65,1
8,89
5,96
5,4
6,71
16,9
7,89
20,35
71,70
3,7
51,49
4,26
10,32
21,46
4,99
23,86
3,13
2,12
19,34
1,1
7,66
28,90
61,20
38,30
4,8
26,51
23,49
5,3
17,7
24,44
41,62
38,98
9,70
4,34
1,1
16,42
68,74
5,17
10,31
1,17
28,94
8,64
39,1
23,40
52,1
77,81
17,83
5,23
4,4
6,51
26,0
3,94
70,92
4,87
82,27
8,64
63,42
1,7
1,97
6,90
23,51
10,83
21,25
6,26
2,4
33,19
28,89
1,7
15,18
2,64
25,49
8,70
55,1
3,32
27,8
4,5
14,17
52,1
3,41
19,21
12,27
21,70
14,49
48,63
10,38
20,42
14,23
8,44
21,6
23,54
21,28
16,43
5,17
10,92
58,92
15,57
24,57
12,53
23,15
14,60
4,24
3,64
1,1
16,72
15,89
2,4
41,4
4,3
19,7
20,12
21,30
11,90
85,83
4,79
8,98
37,26
1,98
1,15
26,74
17,68
31,46
3,49
41,1
5,57
50,71
8,16
33,91
58,51
83,80
14,85
14,96
7,11
18,55
60,1
22,96
1,7
13,65
28,51
4,53
6,20
15,22
30,38
17,49
27,20
8,32
1,2
16,72
35,14
6,49
20,20
7,1
37,1
6,20
7,15
2,15
52,45
7,7
12,48
4,39
52,1
51,11
4,7
5,22
39,87
79,25
1,7
1,7
4,1
22,34
6,43
12,65
20,21
5,13
1,1
9,1
15,5
5,89
53,46
16,6
88,86
93,95
43,73
22,16
1,7
24,57
17,37
85,23
21,56
15,22
29,25
2,21
4,53
8,69
2,85
5,3
32,68
31,14
78,29
1,1
8,45
65,13
8,59
3,21
14,87
7,22
1,1
3,30
3,7
18,88
4,72
63,67
24,42
6,61
17,78
7,88
23,48
9,49
49,10
85,49
7,1
51,94
17,97
3,51
50,54
24,12
1,1
1,1
20,24
20,88
23,17
16,65
1,7
8,34
11,50
47,1
16,17
10,82
5,43
9,24
46,1
6,98
25,28
1,2
18,38
13,36
20,97
3,11
16,4
5,63
3,73
10,51
13,31
14,63
43,41
1,31
1,16
10,78
52,1
80,71
7,38
1,32
10,20
5,6
5,54
1,3
16,87
2,7
48,62
1,26
86,62
36,20
19,47
1,1
27,35
50,45
1,1
14,86
2,2
1,20
63,49
20,66
7,83
5,18
62,1
47,67
12,73
52,1
10,41
10,33
26,99
41,59
2,9
4,20
1,5
28,11
10,28
6,6
2,31
15,25
1,7
53,20
15,62
9,1
13,68
21,44
20,34
4,51
1,7
87,16
4,52
67,15
6,49
58,49
13,76
8,75
6,53
9,62
37,31
5,14
3,20
17,22
5,52
49,72
12,99
19,3
14,43
23,52
1,7
18,47
5,6
62,78
4,12
5,43
18,99
3,32
18,89
1,13
7,86
1,19
9,50
9,20
19,7
41,29
32,62
52,1
19,83
1,26
1,31
61,22
15,17
4,76
30,45
36,72
16,6
14,81
52,73
58,16
52,1
70,2
17,11
7,22
11,44
2,25
52,1
1,5
52,1
1,19
1,5
6,50
16,66
8,19
14,60
68,1
1,1
23,86
65,79
8,19
1,1
8,17
3,50
1,7
9,1
16,97
6,73
32,46
9,15
3,5
37,45
1,1
51,13
65,3
3,3
20,83
19,44
40,85
24,51
1,20
14,36
4,34
66,89
1,1
23,11
7,20
7,1
88,39
3,38
8,19
13,39
12,14
17,15
10,81
3,14
46,51
15,96
10,60
21,80
1,1
4,62
52,1
33,40
4,45
8,91
5,32
9,1
5,34
65,1
1,13
21,83
10,39
7,29
17,22
83,70
77,30
10,45
9,17
5,22
1,19
15,96
77,60
24,18
3,34
33,85
5,87
22,92
59,1
18,40
22,54
22,17
9,86
38,9
8,6
23,42
7,9
20,50
6,90
20,39
1,6
12,11
10,99
17,66
25,8
53,22
59,81
38,92
11,47
15,69
13,32
1,35
18,37
68,76
15,40
89,87
34,72
47,81
0,61
5,89
15,9
52,1
25,2
7,87
24,10
19,89
14,40
14,86
23,57
18,10
8,35
5,20
26,30
87,16
5,20
24,8
16,14
22,62
55,10
5,14
1,5
80,1
59,17
26,14
4,10
60,33
35,71
26,85
9,55
9,1
62,8
64,1
2,12
11,54
3,97
18,34
8,14
22,1
6,6
11,13
51,64
64,1
20,26
52,1
17,31
7,53
15,54
17,14
95,23
1,7
24,11
88,83
9,15
14,81
4,24
69,14
1,2
21,25
23,78
11,99
18,28
37,54
25,14
98,6
6,41
4,50
9,21
4,15
62,36
8,48
20,23
66,17
23,21
11,45
30,32
15,55
26,9
20,47
15,44
52,1
9,76
16,46
89,52
23,26
18,24
9,67
72,1
11,37
50,67
1,7
1,22
39,29
1,18
48,1
6,54
37,30
26,12
30,16
12,39
13,13
52,21
5,45
1,1
6,61
65,93
37,52
19,46
16,32
15,85
16,67
37,29
4,18
4,18
64,27
25,54
22,3
1,37
20,41
47,55
20,65
1,26
13,67
19,8
81,20
74,1
28,27
6,42
62,17
11,90
17,50
10,32
1,42
18,11
56,46
5,11
17,21
10,46
77,24
1,7
60,18
3,6
17,47
6,88
30,72
21,22
15,9
7,61
9,9
2,78
17,38
9,1
3,6
14,23
19,67
5,96
4,16
8,13
20,9
34,37
22,34
2,10
19,56
37,1
63,62
10,68
4,87
11,55
8,78
10,65
48,56
31,65
52,74
78,1
16,65
13,50
5,89
63,85
63,3
60,52
5,17
14,35
23,32
2,2
33,38
18,41
10,24
19,52
70,58
77,36
3,3
1,1
21,50
1,5
52,1
42,2
1,5
1,6
4,26
14,47
39,1
7,12
89,95
16,8
46,72
1,51
52,1
11,39
47,64
36,1
5,23
22,25
8,6
12,14
29,1
1,14
25,66
22,20
8,62
52,1
10,98
20,30
29,38
1,7
1,1
17,18
20,20
10,59
53,87
68,15
85,94
1,1
47,57
31,54
18,65
91,50
1,6
68,1
10,25
7,7
14,26
23,54
5,24
3,53
1,7
24,12
2,1
9,33
28,88
24,5
21,86
16,17
36,71
17,97
33,85
1,1
1,7
19,39
14,27
20,53
21,53
5,90
2,64
60,1
14,10
8,18
13,76
18,53
1,19
23,33
9,20
55,99
12,87
1,18
26,13
13,95
26,75
37,31
54,39
62,24
5,10
4,1
7,30
11,31
80,6
1,18
20,19
9,77
2,14
3,17
16,84
33,75
11,66
1,7
18,56
33,35
64,11
18,17
84,1
15,72
4,3
1,1
1,1
13,20
10,82
15,28
54,32
63,22
1,61
24,29
17,44
58,1
37,27
3,71
14,6
1,2
4,77
1,6
17,42
20,71
7,9
20,50
15,97
7,21
1,74
1,10
31,49
6,39
18,13
7,1
28,36
3,36
5,64
12,2
27,29
12,46
6,75
14,64
19,30
1,8
6,30
64,1
36,15
17,19
74,1
26,54
1,1
26,34
2,18
25,21
38,16
1,11
1,2
26,92
2,13
52,1
3,10
27,64
11,8
16,30
31,1
22,73
7,81
1,25
7,41
3,40
1,37
24,5
7,45
1,22
49,98
24,11
75,38
21,91
51,70
4,6
30,33
55,54
5,19
18,67
31,50
14,46
1,31
2,12
1,7
2,49
36,82
52,1
85,72
57,2
9,24
66,2
17,37
12,14
18,2
6,86
21,49
1,4
65,99
26,8
7,6
5,58
2,61
13,93
57,46
26,20
94,13
37,30
20,5
42,52
5,37
46,11
6,43
11,2
87,27
10,64
52,1
33,30
95,8
61,16
1,2
33,11
23,35
12,95
52,1
1,1
20,56
17,11
41,51
7,24
71,16
9,96
37,27
9,1
70,3
3,55
30,17
3,48
1,32
4,42
12,12
22,95
3,2
2,5
1,6
63,19
80,2
1,62
45,64
85,48
16,2
19,4
4,10
43,59
95,62
1,8
47,1
21,94
7,30
32,50
22,60
23,42
44,85
17,9
16,91
9,18
94,72
8,66
22,58
1,1
11,71
3,45
28,22
25,62
6,96
20,26
14,26
63,85
52,1
7,10
11,38
1,7
8,70
18,13
9,55
9,21
19,20
6,46
13,48
32,17
52,1
14,67
6,61
23,14
49,10
4,5
24,27
47,67
47,73
3,45
2,14
4,96
9,11
7,24
4,1
6,64
90,57
1,7
9,62
1,1
2,1
19,88
22,26
9,79
52,20
4,7
10,66
52,1
52,1
8,82
22,37
1,6
35,49
1,7
20,48
1,71
4,8
36,44
9,9
15,75
41,41
78,1
3,46
52,1
2,63
1,4
19,97
10,86
2,57
78,12
9,37
21,43
52,1
3,30
30,59
24,49
8,47
1,47
1,1
22,33
4,31
1,5
3,26
1,5
43,1
8,50
1,2
11,13
26,89
6,48
18,45
4,17
17,21
7,67
16,89
41,23
43,1
8,75
7,65
7,1
16,22
28,60
5,77
27,72
33,37
3,69
5,96
38,79
9,69
63,40
16,7
98,17
14,64
17,65
4,83
2,8
47,43
24,42
29,19
6,86
11,49
57,19
70,35
1,1
65,42
12,13
13,66
2,22
52,0
15,9
8,10
29,59
5,55
16,94
87,26
1,1
69,58
59,78
57,85
52,1
6,56
28,26
30,37
34,25
6,15
10,61
1,19
30,99
17,10
5,92
26,67
52,1
1,29
20,26
8,70
7,31
4,50
20,84
5,79
4,94
7,68
10,62
86,30
19,44
5,24
6,83
15,35
1,36
1,1
5,86
1,1
59,3
6,6
1,5
7,25
83,48
10,81
1,2
85,18
18,59
83,1
4,73
66,50
18,4
8,83
25,14
18,8
92,38
2,1
8,13
17,15
10,16
24,31
3,93
40,36
23,43
52,1
4,49
5,25
4,36
12,1
20,72
1,5
7,15
14,76
50,99
9,40
45,2
1,35
62,1
1,23
19,5
1,1
11,83
2,2
19,97
23,81
21,41
10,4
7,44
20,48
4,1
28,9
1,5
17,42
52,1
55,1
1,46
9,6
4,1
16,62
10,52
1,1
18,91
15,5
1,1
27,57
8,27
4,15
6,80
24,41
3,52
18,64
7,83
83,37
1,7
3,10
7,64
10,7
32,51
9,56
52,1
17,31
7,46
67,51
3,42
22,12
8,26
15,20
31,20
21,57
7,30
5,15
1,4
1,1
4,7
5,27
1,32
6,63
52,1
1,32
73,75
10,57
12,81
16,63
44,10
70,1
50,40
61,64
15,97
1,1
4,48
1,2
22,42
4,50
14,8
28,31
1,1
23,1
1,6
10,23
11,44
1,1
1,1
11,32
24,30
10,32
29,3
4,6
4,45
5,63
54,25
20,71
33,40
21,19
19,46
6,39
2,5
37,29
7,85
41,20
12,81
2,3
5,42
1,1
1,7
23,45
19,24
6,75
9,75
5,60
45,92
7,68
1,19
4,11
2,1
2,26
61,58
19,7
1,1
1,2
30,94
5,23
49,94
16,49
6,11
27,18
11,26
86,9
1,22
6,79
1,1
25,68
1,6
9,66
6,70
9,22
78,58
23,86
6,46
3,67
2,43
1,1
9,6
26,84
13,54
2,27
2,1
4,70
8,60
2,25
99,32
20,33
13,10
1,10
2,11
15,39
24,30
3,37
32,6
48,10
5,38
56,7
8,45
5,79
1,7
3,1
31,77
13,83
23,75
0,33
21,14
4,45
2,2
7,1
1,1
5,16
18,45
16,46
22,12
25,15
9,34
19,10
7,7
52,1
64,27
92,6
67,98
27,36
39,89
6,4
9,13
19,84
11,60
34,33
6,85
10,72
55,36
6,49
22,36
18,78
17,16
9,40
15,53
2,10
14,19
13,83
1,7
5,53
14,59
60,42
4,31
1,11
7,70
18,58
19,1
9,64
1,54
41,8
24,29
1,82
6,95
70,1
1,36
25,63
78,1
17,16
5,33
7,71
1,3
1,2
87,18
14,41
52,1
7,34
15,83
3,23
17,24
1,95
1,7
63,56
9,81
1,7
21,12
10,81
1,7
75,66
45,42
1,3
25,27
8,24
30,24
25,26
15,1
6,91
61,44
19,11
6,77
13,20
20,25
7,75
1,1
7,79
88,5
26,90
52,1
37,40
18,12
2,7
6,95
17,12
3,17
15,63
21,94
3,36
75,68
78,1
5,13
4,3
4,72
4,15
48,39
2,32
8,91
9,9
18,74
3,59
52,76
6,93
3,47
7,19
10,57
1,1
54,20
4,18
19,1
66,94
6,44
41,17
21,56
24,15
16,66
74,7
21,18
1,6
1,3
1,1
20,3
1,1
21,22
55,57
17,15
18,14
18,78
7,31
11,81
35,50
5,55
15,96
5,55
64,32
3,59
7,50
5,42
25,9
5,48
18,37
16,24
5,30
17,67
3,32
3,88
4,65
8,60
5,1
7,84
1,30
3,7
8,9
4,18
3,33
8,32
42,46
9,27
5,45
2,6
16,37
8,79
6,80
36,72
1,7
1,32
25,82
1,1
84,96
15,9
21,9
12,1
1,2
6,7
28,17
18,14
5,54
24,20
18,91
24,46
10,13
7,51
6,62
1,1
58,27
9,10
56,29
11,95
20,11
18,55
18,10
1,1
15,96
84,4
25,75
1,1
4,1
47,7
9,61
26,18
89,70
17,31
12,64
9,52
57,52
82,46
21,39
3,44
64,97
1,33
70,15
7,42
5,27
1,11
22,46
17,42
10,21
15,61
21,30
1,1
15,5
2,7
1,20
30,8
1,6
22,26
1,29
1,32
10,27
4,1
13,26
2,4
6,79
1,30
12,16
4,11
17,19
1,1
14,28
1,26
14,60
65,2
18,14
19,32
5,13
60,3
4,59
6,62
3,15
93,57
2,5
55,11
14,13
41,59
16,63
4,17
4,80
38,35
70,50
1,2
25,39
52,1
22,13
8,73
19,40
5,31
1,7
17,57
24,90
19,69
4,63
2,32
16,23
12,28
4,33
24,33
3,81
18,18
1,28
43,87
23,43
17,27
2,26
10,50
56,6
1,1
22,15
1,7
1,7
37,32
24,14
5,33
6,88
7,88
1,7
6,27
1,7
29,75
1,6
45,15
1,95
85,21
15,9
24,64
14,4
5,96
26,6
25,81
16,40
20,3
16,83
10,25
3,50
11,48
38,42
14,38
4,22
13,31
6,47
3,76
52,2
1,7
52,1
24,26
9,9
8,16
8,39
21,27
52,1
9,39
48,80
1,1
5,98
8,59
76,17
6,7
41,71
14,99
2,8
8,17
15,12
7,82
68,20
41,13
49,11
3,16
49,11
16,51
4,51
7,20
16,99
8,30
12,7
44,61
21,29
76,45
7,46
45,91
2,52
31,67
1,1
17,13
6,42
3,39
15,70
50,62
4,1
4,1
8,46
4,66
48,76
1,66
6,66
7,13
22,15
82,16
14,16
52,76
69,1
1,81
26,45
26,11
8,54
15,8
7,19
52,0
21,33
1,17
9,53
10,74
1,7
1,30
17,39
14,20
21,41
4,20
7,56
4,4
25,15
6,27
21,61
6,24
28,71
46,6
19,94
2,93
47,60
23,51
14,57
82,92
1,2
1,10
10,85
1,7
1,8
1,2
23,39
1,78
6,97
25,17
7,62
6,95
39,74
23,13
32,34
1,7
13,99
8,55
10,94
9,61
1,8
14,59
9,23
1,50
13,4
10,1
1,1
61,82
2,13
1,2
21,87
10,16
7,3
1,32
2,12
36,94
3,20
16,60
8,25
62,1
7,64
5,68
9,47
7,22
57,30
31,1
6,8
14,77
5,40
2,89
17,26
3,52
1,1
9,13
33,56
13,56
40,77
21,25
14,4
18,19
52,1
25,11
31,23
64,1
55,1
15,12
2,7
23,47
15,14
7,17
4,23
1,1
1,15
29,85
20,67
5,26
10,64
1,60
8,19
1,2
24,27
5,64
6,80
8,23
18,69
88,1
11,35
28,97
58,1
65,56
54,2
1,1
79,1
1,91
29,20
1,19
3,3
52,1
74,1
18,54
1,6
27,50
1,1
37,30
21,38
3,44
20,53
38,40
12,41
7,80
26,49
1,4
18,25
1,20
22,61
3,13
18,53
42,86
7,19
26,65
50,33
5,7
52,1
3,7
20,60
16,66
37,19
15,9
15,92
42,80
14,3
4,1
5,35
44,1
12,12
1,4
7,32
5,54
19,99
14,97
45,44
4,45
97,21
7,5
34,3
7,20
60,1
6,14
11,16
39,13
1,8
65,95
8,96
1,1
9,14
26,6
15,7
96,24
1,14
20,16
39,40
7,10
47,78
49,63
4,74
1,99
52,1
52,7
7,1
4,77
18,75
19,55
8,50
5,32
2,3
12,69
13,36
6,99
1,88
1,6
15,4
9,97
1,22
32,12
1,1
6,59
7,39
8,96
49,63
55,93
3,33
1,2
1,2
37,24
5,61
53,51
21,99
6,22
75,16
4,69
7,33
3,13
20,16
22,76
45,35
6,16
60,41
9,59
5,49
9,2
52,1
8,52
52,1
5,72
1,7
13,42
7,36
97,59
1,19
22,25
11,16
18,20
14,67
10,86
10,89
24,62
1,6
17,55
17,52
33,76
3,18
43,9
1,7
1,1
8,87
37,25
3,35
5,15
18,69
9,29
21,11
1,1
4,43
1,21
22,7
24,26
1,1
26,53
6,67
4,46
85,31
20,7
5,40
1,29
32,15
5,9
3,79
1,21
8,28
1,91
22,95
16,13
11,5
3,17
16,4
19,34
19,78
37,7
12,42
40,63
1,7
2,77
60,1
7,39
19,3
17,10
21,99
22,4
26,56
24,39
10,78
2,96
1,57
6,2
23,5
1,7
18,23
40,13
4,40
86,14
30,13
4,19
62,1
11,76
90,1
5,95
8,52
23,13
24,8
2,19
58,1
21,24
6,71
9,5
2,3
21,71
4,1
54,58
52,1
10,79
64,19
37,4
2,8
44,55
4,1
7,79
90,24
24,89
72,49
23,38
5,65
11,80
26,10
22,17
4,23
37,52
48,2
4,84
1,25
19,35
4,10
1,24
5,74
55,27
86,43
27,18
2,7
1,39
15,46
15,66
1,7
22,44
1,2
4,14
1,6
7,42
9,42
1,9
9,82
21,12
6,11
3,94
6,36
18,12
2,64
6,65
17,15
25,18
24,36
84,7
6,65
52,1
19,66
8,91
21,74
19,79
17,60
9,18
2,7
5,8
17,10
21,8
87,84
5,37
13,24
18,2
6,10
5,9
1,1
16,46
87,63
15,18
9,97
64,1
5,75
14,10
48,32
22,2
1,28
28,13
15,5
1,2
13,70
16,30
6,73
91,1
21,57
4,2
9,0
5,5
5,37
8,41
19,47
25,17
51,64
72,42
2,30
1,12
2,14
7,70
14,52
2,73
8,91
81,1
4,1
16,42
42,27
7,11
3,92
14,78
24,78
28,60
3,82
51,58
13,24
21,26
1,1
52,1
5,9
2,24
57,1
2,29
54,67
16,94
49,30
24,2
40,2
7,70
18,25
52,1
22,12
10,57
94,92
10,91
6,64
1,15
1,1
20,30
13,18
36,66
15,54
19,17
1,7
9,27
5,65
20,51
9,12
21,74
52,1
20,19
34,1
98,11
64,10
1,1
6,54
2,8
28,70
3,7
1,1
62,3
85,62
1,1
7,56
35,30
53,7
13,33
42,17
10,15
21,55
1,5
6,70
11,66
1,26
1,4
11,18
5,58
4,8
3,39
70,68
21,23
10,14
57,85
8,39
12,45
1,7
38,37
54,18
4,14
50,31
9,93
21,51
21,1
5,64
52,1
42,47
2,5
3,24
25,77
4,25
30,10
10,13
8,19
14,45
23,28
8,31
1,5
2,7
22,74
10,85
79,20
78,9
4,10
43,38
52,1
3,45
13,38
4,5
10,30
4,14
8,99
4,1
39,1
1,2
4,6
