question_length,answer_length
11,201
66,158
29,71
18,85
46,102
182,69
68,143
25,197
1,93
49,63
1,1
205,21
17,37
11,86
6,50
44,34
7,173
91,1
6,21
2,1
52,1
14,239
9,202
3,116
3,165
14,182
102,119
13,65
7,14
115,58
1,1
36,106
4,22
169,88
10,76
9,227
9,44
174,12
8,75
32,23
8,132
19,217
14,47
1,7
15,13
7,8
1,7
16,14
14,189
196,237
13,1
42,51
5,151
9,117
13,13
10,81
20,96
1,7
6,42
18,21
16,91
7,90
6,61
1,1
65,1
8,89
22,118
144,36
4,217
5,96
5,4
105,137
25,243
6,71
16,9
7,89
5,161
20,35
10,133
71,70
3,7
230,48
51,49
4,26
10,32
21,46
7,146
14,103
4,99
23,86
3,13
2,12
19,34
1,1
7,66
10,129
28,90
16,164
26,211
61,20
38,30
10,144
4,8
26,51
18,133
23,49
68,176
179,145
40,256
5,3
11,194
17,195
17,7
156,149
24,44
41,62
38,98
63,244
9,70
4,34
23,232
1,1
24,127
16,42
68,74
20,177
65,214
5,17
10,31
1,17
10,139
50,119
28,94
105,33
8,64
39,1
23,40
25,162
10,175
10,215
13,185
52,1
77,81
17,83
12,152
5,23
4,4
6,51
26,0
3,94
10,192
33,179
70,92
4,87
54,111
218,21
82,27
8,201
22,131
8,64
63,42
1,7
1,97
6,90
23,51
10,83
21,243
6,182
213,188
21,25
6,26
5,155
2,4
43,189
33,19
148,135
28,89
37,130
1,7
177,174
15,18
101,8
2,64
25,49
124,174
36,196
8,70
55,1
3,32
27,8
4,5
141,170
31,236
9,229
14,17
103,77
4,205
52,1
123,53
9,239
3,41
19,21
12,27
21,70
14,49
16,255
48,63
67,204
10,38
28,132
20,42
14,23
37,151
8,44
21,6
110,44
23,54
32,176
21,28
58,188
16,43
6,184
11,132
5,17
10,92
56,149
9,211
4,209
58,92
143,23
21,150
7,104
25,218
60,165
15,57
24,57
13,172
12,53
23,15
14,60
82,117
56,168
35,181
4,24
23,250
3,64
1,1
251,84
16,72
15,89
21,133
8,158
212,138
1,142
2,4
54,228
41,4
4,3
19,7
4,123
24,205
136,1
20,12
25,126
24,213
21,30
20,111
11,90
85,83
4,79
8,98
210,138
8,223
13,218
13,114
37,26
1,104
17,101
1,98
1,15
234,23
15,254
26,74
98,188
17,68
31,46
3,49
215,217
209,52
41,1
5,167
14,240
8,192
4,121
23,171
5,57
50,71
8,16
85,243
113,13
33,91
61,162
8,115
58,51
83,80
11,201
14,85
50,132
60,124
6,211
200,30
128,18
18,101
8,190
14,96
9,148
7,11
5,152
18,55
4,237
60,1
49,247
17,248
8,106
22,96
16,125
1,7
6,159
74,206
18,198
13,65
64,178
28,51
16,250
126,6
4,53
6,20
249,132
15,22
30,38
63,186
17,225
17,49
27,20
30,236
8,32
1,2
198,54
22,238
16,72
35,14
6,49
20,20
14,136
7,1
21,229
32,110
37,1
33,169
6,20
7,15
2,15
52,45
12,247
7,7
58,174
12,48
195,14
65,107
4,39
52,1
51,11
4,7
1,133
5,22
39,87
12,168
79,25
7,193
2,130
1,7
1,7
18,247
4,1
180,26
9,215
22,34
112,10
199,195
15,140
155,92
6,43
12,65
4,108
67,215
20,21
229,121
20,255
9,137
20,158
13,106
7,204
5,13
12,145
10,235
1,1
13,220
9,1
57,105
11,129
15,5
70,184
5,89
20,138
53,46
16,6
3,139
28,191
88,86
93,95
103,189
17,192
43,73
22,16
7,142
1,7
24,57
15,198
17,37
85,23
21,56
15,22
20,178
23,213
29,25
42,230
13,139
2,21
4,53
16,241
8,69
2,85
22,173
8,176
116,8
5,3
32,68
14,160
31,14
4,136
110,108
9,242
78,29
1,1
8,45
26,101
8,251
60,130
65,13
17,211
8,59
256,9
16,230
3,21
141,15
14,87
8,240
6,231
7,22
21,146
1,1
189,6
251,1
17,205
3,30
66,204
112,162
3,7
14,214
18,88
4,72
63,67
7,119
25,176
24,42
6,61
70,211
17,78
7,88
23,48
22,187
9,49
49,10
85,49
7,1
51,94
65,180
17,97
3,51
17,150
50,54
105,111
65,220
24,12
6,140
1,1
1,1
15,155
12,154
137,65
20,24
13,202
4,165
20,88
23,17
16,65
181,11
1,7
15,189
65,118
93,164
20,148
8,34
11,50
47,1
16,17
227,6
33,142
36,148
9,165
3,194
10,82
4,180
5,43
9,24
9,209
46,1
51,160
143,2
6,98
25,28
6,167
1,2
11,108
18,38
31,155
13,36
15,231
20,97
3,11
103,96
16,4
5,63
15,173
162,239
3,73
10,51
18,165
13,31
8,184
27,115
25,141
29,162
14,63
182,221
43,41
85,119
1,31
1,16
10,78
88,102
25,249
52,1
80,71
7,38
20,243
1,32
10,20
102,169
138,51
44,115
17,187
13,253
5,6
5,54
205,9
65,168
1,3
205,55
16,87
2,7
51,140
7,219
12,200
48,62
1,26
86,62
36,20
17,221
72,218
120,10
63,150
19,47
8,136
1,1
15,110
3,100
27,35
28,219
50,45
205,59
44,202
247,89
70,120
1,1
62,132
14,86
200,142
8,105
7,157
2,2
1,20
12,118
16,174
63,49
20,66
6,177
10,212
24,215
231,210
10,171
77,135
7,83
62,131
223,28
5,18
62,1
47,67
217,121
231,4
12,73
52,1
9,227
178,187
230,4
10,41
10,33
26,99
6,123
11,194
41,59
2,9
4,20
1,5
34,138
28,11
10,28
16,147
6,6
2,31
15,25
251,118
12,100
1,7
53,20
15,62
37,180
128,8
13,196
9,1
173,60
13,68
21,44
9,203
20,34
4,51
1,7
4,140
87,16
14,181
63,171
105,96
178,39
15,138
4,52
67,15
111,224
15,177
6,49
5,161
58,49
190,54
13,76
108,101
8,75
6,53
19,130
9,62
28,239
37,31
15,174
5,14
3,20
14,186
240,206
17,22
5,52
5,161
62,221
20,203
49,72
63,206
5,137
170,72
52,212
34,213
12,99
19,3
14,43
26,256
23,52
250,5
33,102
1,7
18,47
5,6
62,78
4,12
5,43
5,206
9,233
18,99
3,32
18,89
1,13
1,134
7,86
10,185
20,234
1,19
9,50
9,20
137,62
15,126
63,143
19,7
14,232
41,29
32,62
5,235
11,225
134,39
30,185
52,1
19,83
69,184
1,26
74,110
1,31
26,164
115,109
61,22
41,232
5,248
20,184
15,17
31,190
4,76
61,247
30,45
36,72
16,6
64,171
13,144
14,81
8,107
52,73
58,16
52,1
150,35
232,37
70,2
163,235
167,25
17,11
7,22
11,44
28,142
2,25
52,1
1,5
52,1
65,223
5,115
1,19
1,5
6,50
16,66
17,163
8,19
14,60
68,1
10,110
7,142
4,192
1,1
23,86
32,129
65,79
8,19
222,106
61,232
29,131
126,193
1,1
8,17
65,253
3,50
10,120
1,7
9,1
165,190
16,97
208,9
25,174
6,73
32,46
9,15
3,5
53,187
37,45
1,1
51,13
121,23
65,3
8,249
3,3
20,83
19,44
40,85
24,51
1,20
43,196
14,36
1,133
175,10
40,126
9,232
4,34
66,89
1,1
57,256
8,191
23,11
7,20
7,1
88,39
8,249
3,38
194,14
8,19
255,75
13,39
16,212
9,211
12,14
6,170
62,160
24,203
17,15
10,81
3,14
50,115
10,232
46,51
15,96
10,60
102,33
21,80
18,221
3,107
3,188
120,121
161,105
243,51
1,1
11,251
21,151
4,62
52,1
8,183
33,40
196,12
4,45
28,198
8,91
5,32
148,26
100,70
4,162
9,1
11,198
13,198
130,27
59,164
5,34
65,1
62,184
1,13
21,83
10,39
7,29
17,22
75,117
83,70
130,230
250,23
77,30
131,12
8,119
28,176
10,45
9,17
98,223
5,22
